team,position,depth_chart_position,jersey_number,status,player_name,first_name,last_name,birth_date,height,weight,college,player_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number,age
ATL,DL,DE,56,ACT,Steven Means,Steven,Means,1990-09-16,75,263,Buffalo,00-0030387,15936,c639a18a-ee1a-46ed-8707-580711fa33db,26770,8974,7929,MeanSt00,15203,1561,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rggc0gllekkxljklumrf",EDGE,17,REG,A01,Steven,MEA790667,40095,32004d45-4179-0667-efd8-c4fe9d095bdb,2013,2013,TB,147,27
LAC,K,K,6,CUT,Caleb Sturgis,Caleb,Sturgis,1989-08-09,69,192,Florida,00-0030390,15918,596c4000-ede5-45b0-8336-33efeb686d2b,26789,8898,7948,SturCa00,14877,1358,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/anm7eiqngj9sh0ustpoe",,19,DIV,,Caleb,STU678742,40114,32005354-5567-8742-a8d5-d847741821a4,2013,2013,MIA,,29
SF,DB,DB,36,CUT,Don Jones,Don,Jones,,71,195,Arkansas State,00-0030395,,,,,,,,,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sbxkpll04qyibkn0gxeg",,17,REG,,Don,JON236068,40198,32004a4f-4e23-6068-60cc-78a6c281afa8,2013,2013,MIA,,
DET,LB,OLB,49,CUT,Freddie Bishop,Freddie,Bishop,,74,259,Western Michigan,00-0030396,,,,,,,,,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hiths7xi3om1znydyidl",,17,REG,,Freddie,BIS346075,40830,32004249-5334-6075-5982-a52de2792e63,2013,2013,,,
CHI,WR,WR,81,CUT,Marlon Brown,Marlon,Brown,1991-04-22,77,214,Georgia,00-0030400,16581,ffec1b11-6b1b-482d-86f0-3bf4f6391dbf,27422,8936,8179,,15479,1675,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zdfywwd0yvsd6okfa5sr",,18,WC,,Marlon,BRO558667,40835,32004252-4f55-8667-aeaa-5d8516c8e5c7,2013,2013,,,27
MIA,LB,OLB,47,ACT,Kiko Alonso,Kristian,Alonso,1990-08-14,75,233,Oregon,00-0030401,15819,1b0234dc-a434-4c31-bb41-6457c068a0fa,26669,8698,7827,AlonKi00,14864,1345,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hdsihziozsysfg7gufhf",MLB,17,REG,A01,Kiko,ALO444955,39994,3200414c-4f44-4955-94ba-2b2088cec5b5,2013,2013,BUF,46,28
MIA,DL,DT,93,ACT,Akeem Spence,Akeem,Spence,1991-11-29,73,307,Illinois,00-0030402,15958,10969a29-e4ca-47d3-9100-0017774f2cc2,26723,8676,7882,SpenAk00,15204,1562,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qtyh6dv78h5dxhgdhscg",INTERIOR_LINE,17,REG,A01,Akeem,SPE410844,40048,32005350-4541-0844-f293-479210d39ec1,2013,2013,TB,100,26
NYG,DB,CB,23,ACT,BW Webb,William,Webb,1990-05-03,71,190,William &amp; Mary,00-0030403,15939,113045ba-c7e5-4a91-a089-bc1bbcf55008,26737,8830,7896,WebbBW00,15086,1488,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wr3gbimxpdakiq72abix",CB,17,REG,A01,B.W.,WEB094382,40062,32005745-4209-4382-73b9-f6dfa1990152,2013,2013,DAL,114,28
WAS,RB,RB,25,ACT,Chris Thompson,Christopher,Thompson,1990-10-20,68,191,Florida State,00-0030404,15966,0366fd06-19a3-4b69-8448-6bfbfad1250b,26777,8773,7936,ThomCh03,15102,1502,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ssddwgyvzemk6nxhbbv1",RB,17,REG,A01,Chris,THO499404,40102,32005448-4f49-9404-2355-f8ba7d7dd1ed,2013,2013,WAS,154,27
SF,P,P,2,CUT,Jeff Locke,Jeff,Locke,,72,195,UCLA,00-0030405,15926,e6166069-6d2c-4121-9988-bc7b533e1558,26778,8985,,LockJe00,15148,1533,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ehxspsqfck3sz2ju7t6x",,17,REG,,Jeff,LOC061448,40103,32004c4f-4306-1448-e0ab-3c38d7d7c46f,2013,2013,MIN,,
TEN,DB,CB,26,RES,Logan Ryan,Logan,Ryan,1991-02-09,71,195,Rutgers,00-0030411,15861,e829aa7e-04a7-425a-9717-c334ca9febe9,26706,8640,7864,RyanLo00,14888,1367,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/asumgyvux0rsuwkp31mb",,17,REG,,Logan,RYA237161,40031,32005259-4123-7161-6d10-c7f89928657b,2013,2013,NE,,27
DEN,DB,SS,38,CUT,Shamarko Thomas,Shamarko,Thomas,1991-02-23,69,205,Syracuse,00-0030412,15992,ecb0a97f-f70b-4ea7-a741-e1d4e764edfb,26734,8780,7893,ThomSh00,14972,1412,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ov7tqeidxwkjijamg44p",,17,REG,,Shamarko,THO379701,40059,32005448-4f37-9701-9056-60126a876af1,2013,2013,PIT,,27
KC,RB,RB,32,ACT,Spencer Ware,Spencer,Ware,1991-11-23,70,229,Louisiana State,00-0030414,16020,bbb63a36-8613-4675-8e5e-34200d245ff0,26817,8625,7975,WareSp00,15261,1601,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qr04afpcu3fqpgxnws6t",RB,20,CON,A01,Spencer,WAR371408,40142,32005741-5237-1408-8eeb-d6f0ad5c88fe,2013,2013,SEA,194,26
KC,QB,QB,5,CUT,Matt McGloin,Matt,McGloin,,73,210,Penn State,00-0030419,16593,663b69e5-1fc2-404b-9a3f-f153c650ee89,27429,8991,8374,,15746,1747,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zwrox2g1yauaa1csdhrw",,20,CON,,Matt,MCG491502,40845,32004d43-4749-1502-771e-59574c0ac212,2013,2013,,,
ARI,DB,CB,38,ACT,David Amerson,David,Amerson,1991-12-08,73,205,North Carolina State,00-0030420,15820,2ba5bdad-0b7c-4637-89a3-5b7b34d215b0,26674,8643,7832,AmerDa00,15096,1498,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/c8cszehpmckghfcsg44l",CB,17,REG,A01,David,AME404790,39999,3200414d-4540-4790-438d-05a5b6df8574,2013,2013,WAS,51,26
CLE,LB,OLB,51,ACT,Jamie Collins,Jamie,Collins,1989-10-20,75,250,Southern Mississippi,00-0030421,15830,ca760cb5-83dd-4415-acc8-ef8b508ba976,26675,8715,7833,CollJa00,14885,1364,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gt9qwaoykq29yzdckpme",MLB,17,REG,A01,Jamie,COL607549,40000,3200434f-4c60-7549-78e7-bcab7dbbd4be,2013,2013,NE,52,28
CHI,TE,TE,88,RES,Dion Sims,Dion,Sims,1991-02-18,76,268,Michigan State,00-0030422,15974,9c04a540-cb7c-41dc-8e7c-50b7af29a3a2,26729,8784,7888,SimsDi00,14876,1357,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gvok1agdl3xtz9nceqfr",,18,WC,,Dion,SIM687398,40054,32005349-4d68-7398-27a7-235867d0df36,2013,2013,MIA,,27
DEN,LB,DE,59,CUT,Stansly Maponga,Stansly,Maponga,,74,257,Texas Christian,00-0030425,,,,,,,,,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wkm7acdzoekbkaaz5nlw",,17,REG,,Stansly,MAP697687,40101,32004d41-5069-7687-1d01-27d9fec89881,2013,2013,ATL,,
ATL,DB,FS,36,ACT,Kemal Ishmael,Kemal,Ishmael,1991-05-06,72,206,Central Florida,00-0030427,16008,e4039abe-35b3-4b78-9752-e714ef01cecd,26866,8940,8026,IshmKe00,15179,1542,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ifdrckmsuvqmajq2slwc",OLB,17,REG,A01,Kemal,ISH415291,40191,32004953-4841-5291-8c0b-06212f8b28da,2013,2013,ATL,243,27
LA,WR,WR,17,ACT,Robert Woods,Robert,Woods,1992-04-10,72,193,Southern California,00-0030431,15880,618bedee-9259-4536-b0ff-fec98d2a20de,26664,8628,7822,WoodRo02,14871,1352,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vwtoba3zfsmti9s9wwau",SLOT_WR,21,SB,A01,Robert,WOO561144,39989,3200574f-4f56-1144-59b1-dbf0c9bdb37a,2013,2013,BUF,41,26
IND,RB,RB,38,CUT,Christine Michael,Christine,Michael,1990-11-09,70,220,Texas A&M,00-0030432,15855,cf8e8522-6220-4612-a8a1-72c496dac536,26685,8758,7843,MichCh00,15256,1596,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qlysbozgkexeoohnqrvz",,19,DIV,,Christine,MIC066214,40010,32004d49-4306-6214-d90e-b7836060961d,2013,2013,SEA,,27
NO,RB,RB,25,CUT,Mike Gillislee,Mike,Gillislee,1990-11-01,71,210,Florida,00-0030433,15952,d08da2a3-8296-4038-bb46-ab1feca4bbd4,26787,8760,7946,GillMi00,14872,1353,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bz85uuhwz2daip0avjrg",,20,CON,,Mike,GIL667064,40112,32004749-4c66-7064-df1f-0e303552f27e,2013,2013,MIA,,27
PIT,LB,ILB,98,ACT,Vince Williams,Vince,Williams,1989-12-27,73,233,Florida State,00-0030434,15934,0adb6bc1-17fd-4ca5-90ad-89ca06950bc8,26829,8970,7988,WillVi01,14975,1415,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gxmhavpzi5kb3el1e2y8",,17,REG,A01,Vince,WIL554116,40154,32005749-4c55-4116-1486-1cf65b5b8dcc,2013,2013,PIT,206,28
CHI,OL,OG,75,ACT,Kyle Long,Kyle,Long,1988-12-05,78,315,Oregon,00-0030441,,,,,,,,,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nzhbqhrtqaw6kg3ffzvr",G,18,WC,A01,Kyle,LON395646,39966,32004c4f-4e39-5646-eb94-3078e489cddb,2013,2013,CHI,20,29
NE,LB,DE,55,ACT,John Simon,John,Simon,1990-10-14,74,250,Ohio State,00-0030442,16010,25a4ae85-e94b-4db1-b939-4c96f24ead11,26752,8711,7911,SimoJo01,14904,1381,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/of08wb1lq5b27s8kjcw2",EDGE,21,SB,A01,John,SIM369947,40077,32005349-4d36-9947-12b7-a7f74a902b01,2013,2013,BAL,129,27
DET,TE,TE,87,ACT,Levine Toilolo,Levine,Toilolo,1991-07-30,80,265,Stanford,00-0030443,15980,67d56171-7522-430c-b7d9-8f7e2b6624d3,26756,8789,7915,ToilLe00,15378,1642,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kvmwkckswsrlleyrqosw",TE,17,REG,A01,Levine,TOI581408,40081,3200544f-4958-1408-e88e-0550d7dda988,2013,2013,ATL,133,27
CAR,DL,DT,99,ACT,Kawann Short,Kawann,Short,1989-02-02,75,315,Purdue,00-0030448,15862,123f0733-0afb-4291-8e57-9970e229309b,26667,8674,7825,ShorKa00,15189,1549,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ll1ubxmvikwx773uepzw",,17,REG,A01,Kawann,SHO598059,39992,32005348-4f59-8059-64c7-23ab281772e2,2013,2013,CAR,44,29
IND,DL,DT,92,ACT,Margus Hunt,Margus,Hunt,1987-07-14,80,298,Southern Methodist,00-0030449,15844,19269eae-f3f2-47ac-b755-843489f29f65,26676,8659,7834,HuntMa00,14922,1392,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gb5y0bmynzljqjl9xskd",INTERIOR_LINE,19,DIV,A01,Margus,HUN320751,40001,32004855-4e32-0751-ad6c-17f356b0d9ab,2013,2013,CIN,53,31
BUF,DL,DT,98,ACT,Star Lotulelei,Starlite,Lotulelei,1989-12-20,74,315,Utah,00-0030455,15802,2d19098b-f154-4b28-976d-79182af014df,26637,8668,7795,LotuSt00,15188,1548,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/aa76o5lnybfm9chig7g5",INTERIOR_LINE,17,REG,A01,Star,LOT652596,39960,32004c4f-5465-2596-7d81-e1cfb475487e,2013,2013,CAR,14,28
CIN,RB,HB,25,ACT,Giovani Bernard,Giovani,Bernard,1991-11-22,69,205,North Carolina,00-0030456,15826,24cf6148-f0af-4103-a215-e06956764953,26660,8622,7818,BernGi00,14916,1386,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cubg2wczhxrtz6jd4ldj",RB,17,REG,A01,Giovani,BER219765,39985,32004245-5221-9765-46d6-1e758159937b,2013,2013,CIN,37,26
OAK,DL,DE,96,CUT,Tank Carradine,Tank,Carradine,1990-02-18,76,270,Florida State,00-0030457,15829,d36267e0-f2ef-4dd0-8bda-2a9238a377b7,26663,8661,7821,,15233,1582,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/le8vvip0k3ujvktc4ale",,17,REG,,Tank,CAR445551,39988,32004341-5244-5551-f7a2-cf726e6586a2,2013,2013,SF,,28
HOU,DB,FS,32,ACT,Tyrann Mathieu,Tyrann,Mathieu,1992-05-13,69,186,Louisiana State,00-0030459,15851,8c8b7d6e-6ed8-4a10-8ae9-b50300bd766b,26692,8593,7850,MathTy00,15226,1576,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lbkxx0nityawgcbztuzu",SLOT_CB,18,WC,A01,Tyrann,MAT195206,40017,32004d41-5419-5206-42a6-e6a01bfff75c,2013,2013,ARI,69,26
PHI,WR,WR,80,CUT,Markus Wheaton,Markus,Wheaton,1991-02-07,71,185,Oregon State,00-0030460,15873,f9036897-99d5-4d9a-8965-0c7e0f9e43bd,26702,8796,7860,WheaMa00,14973,1413,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hd28smxn43jzwkdikpd0",,19,DIV,,Markus,WHE120992,40027,32005748-4512-0992-3db9-f1a7d0faabbb,2013,2013,PIT,,27
NO,LB,OLB,53,ACT,AJ Klein,Aaron,Klein,1991-07-30,73,240,Iowa State,00-0030463,15964,9342eba6-e307-4c55-a0f7-993518dd4415,26771,8942,7930,KleiAJ00,15186,1547,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tklnkxxjlaymnfmddcug",MLB,20,CON,A01,A.J.,KLE216860,40096,32004b4c-4521-6860-e08e-23493961ddf7,2013,2013,CAR,148,27
CAR,RB,RB,23,RES,Kenjon Barner,Kenjon,Barner,1989-04-28,69,195,Oregon,00-0030465,15921,5ec072b3-2837-4cf1-bb4f-ecd873949626,26805,8762,7963,BarnKe00,15185,1546,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/o5u78mg6kkt7zalhcbwj",,17,REG,A01,Kenjon,BAR236353,40130,32004241-5223-6353-7eec-f76b08d3f9a0,2013,2013,CAR,182,29
PIT,TE,TE,89,ACT,Vance McDonald,Vance,McDonald,1990-06-13,76,267,Rice,00-0030470,15853,8f24a248-b328-43ec-8677-67600e42a8f7,26678,8785,7836,McDoVa00,15239,1587,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sk4wyebbceeraudd7cma",TE,17,REG,A01,Vance,MCD589658,40003,32004d43-4458-9658-1fa3-62884c020db7,2013,2013,SF,55,28
CIN,DB,SS,36,ACT,Shawn Williams,Shawn,Williams,1991-05-13,72,210,Georgia,00-0030471,15877,c9e9bbc5-2aeb-4f72-9b7c-1a688fb235fb,26707,8777,7865,WillSh02,14925,1395,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yecgbpt6yn4ob0pbmabs",SAFETY,17,REG,A01,Shawn,WIL522311,40032,32005749-4c52-2311-70db-482094c670a8,2013,2013,CIN,84,27
WAS,TE,TE,86,RES,Jordan Reed,Jordan,Reed,1990-07-03,74,245,Florida,00-0030472,15860,c3bf8d3e-3b2e-4f9e-ad74-c0a684035f17,26708,8615,7866,ReedJo02,15100,1500,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jur0qgejd3lzv8flmxcq",,17,REG,A01,Jordan,REE302847,40033,32005245-4530-2847-ba4d-b3c01fedf34c,2013,2013,WAS,85,28
DEN,DB,CB,39,ACT,Jamar Taylor,Jamar,Taylor,1990-09-29,71,192,Boise State,00-0030484,15866,226723b9-fddf-45ca-8245-d8cc5442c400,26677,8644,7835,TaylJa01,14878,1359,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ampmpaj6asvwtd1vobyo",,17,REG,A01,Jamar,TAY294506,40002,32005441-5929-4506-4344-5397658d005b,2013,2013,MIA,54,27
NE,OL,C,63,RES,Brian Schwenke,Brian,Schwenke,1991-03-22,75,318,California,00-0030486,,,,,,,,,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/swc134obyt0q7uxuhfbd",,21,SB,,Brian,SCH825127,40055,32005343-4882-5127-edf4-4a81d0c2b33e,2013,2013,TEN,,27
PIT,RB,RB,26,NWT,Le'Veon Bell,Le'Veon,Bell,1992-02-18,73,225,Michigan State,00-0030496,15825,7735c02a-ee75-447c-86e6-6c2168500050,26671,8617,7829,BellLe00,14967,1408,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lz4fqlhyoowrecnzp7dr",,17,REG,,Le'Veon,BEL474300,39996,32004245-4c47-4300-1a03-0d70c9d24d43,2013,2013,PIT,,26
CHI,DL,DT,97,ACT,Nick Williams,Nicholas,Williams,1990-02-21,76,309,Samford,00-0030500,15882,e03775ef-3287-476c-9386-ff16ea31d7b8,26846,8969,8006,WillNi01,14974,1414,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qz7aipvkjspmqdymvdkt",,18,WC,A01,Nicholas,WIL456378,40171,32005749-4c45-6378-ed53-e94268480b5b,2013,2013,PIT,223,28
NO,DL,DE,57,ACT,Alex Okafor,Alex,Okafor,1991-02-08,76,260,Texas,00-0030503,15976,b200f413-296d-49f3-9ef2-f60e21c2f5fd,26726,8656,7885,OkafAl00,15228,1578,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jcfrmgi1gn389dmklp2n",EDGE,20,CON,A01,Alex,OKA207645,40051,32004f4b-4120-7645-9671-780bd0a9e00a,2013,2013,ARI,103,27
CLE,OL,G,71,ACT,Earl Watford,Earl,Watford,1990-06-24,75,295,James Madison,00-0030504,,,,,,,,,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/omvn7ragvrqppdz4x6dc",,17,REG,A01,Earl,WAT147534,40064,32005741-5414-7534-9b6c-13c5afffe2ac,2013,2013,ARI,116,28
SEA,OL,OG,78,ACT,DJ Fluker,Danny,Fluker,1991-03-13,77,339,Alabama,00-0030505,,,,,,,,,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ihae3icrxitvoupj4ez5",G,18,WC,A01,D.J.,FLU158205,39957,3200464c-5515-8205-dc4a-5abf27c18de1,2013,2013,SD,11,27
KC,TE,TE,87,ACT,Travis Kelce,Travis,Kelce,1989-10-05,77,260,Cincinnati,00-0030506,15847,c3859e06-5f23-4302-a71b-04820a899d5f,26686,8783,7844,KelcTr00,15048,1466,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n0gfqddteoputgezwl0k",TE,20,CON,A01,Travis,KEL012458,40011,32004b45-4c01-2458-b7b6-3a14cdb414dd,2013,2013,KC,63,28
TEN,DL,NT,96,ACT,Bennie Logan,Bennie,Logan,1989-12-28,74,315,LSU,00-0030507,15850,52f75d86-f8fe-4411-a381-7675acd5bca9,26690,8677,7848,LogaBe00,14859,1342,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ywpa2hilqxek8iwj33gx",INTERIOR_LINE,17,REG,A01,Bennie,LOG113260,40015,32004c4f-4711-3260-633c-1ba22301b5f3,2013,2013,PHI,67,28
BAL,DL,DT,98,ACT,Brandon Williams,Brandon,Williams,1989-02-21,73,340,Missouri Southern,00-0030511,15875,7963d8ea-c627-47cb-b46f-a917abb9e9d7,26717,8678,7875,WillBr02,14906,1383,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mq2b2y109vcikmrknxjf",INTERIOR_LINE,18,WC,A01,Brandon,WIL156757,40042,32005749-4c15-6757-b4c6-59a7546684cb,2013,2013,BAL,94,29
MIN,RB,RB,25,ACT,Latavius Murray,Latavius,Murray,1990-01-18,75,230,Central Florida,00-0030513,15920,540f8b30-900e-4d17-8756-c262ba5fa039,26804,8772,7962,MurrLa00,15071,1476,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xoc3ipmwmfx9x7chlreq",RB,17,REG,A01,Latavius,MUR671046,40129,32004d55-5267-1046-5487-d03e83f25c8b,2013,2013,OAK,181,28
WAS,DL,DE,92,ACT,Stacy McGee,Stacy,McGee,1990-01-17,75,341,Oklahoma,00-0030515,15906,0606c9ab-8351-4a38-8ca4-ceb16e982f6a,26828,8964,7987,McGeSt01,15069,1474,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qzedu4gy9vwclljtph4j",INTERIOR_LINE,17,REG,A01,Stacy,MCG197653,40153,32004d43-4719-7653-fda6-d5532f68b886,2013,2013,OAK,205,28
MIA,WR,WR,14,ACT,Brice Butler,Brice,Butler,1990-01-29,75,220,San Diego State,00-0030516,15896,26b9c11d-c557-4bef-b990-65498858df47,26832,8912,7991,ButlBr00,15066,1471,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xnr2lcdlhui4vyu6z4ir",SLOT_WR,17,REG,A01,Brice,BUT116760,40157,32004255-5411-6760-c62b-d041b540d5f9,2013,2013,OAK,209,28
NYJ,LB,OLB,47,CUT,David Bass,David,Bass,,76,267,Missouri Western State,00-0030517,16025,67c59603-6e43-4446-9035-6a2ee811ed1b,26856,8821,8016,BassDa00,15065,1470,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fxtkul2kqfiwnqjrfklp",,17,REG,,David,BAS384856,40181,32004241-5338-4856-b949-c6eef7ab03ae,2013,2013,OAK,,
ARI,QB,QB,7,ACT,Mike Glennon,Michael,Glennon,1989-12-12,78,229,North Carolina State,00-0030520,15837,e1235f1e-26ce-438c-8168-3b1ded4ab893,26696,8745,7854,GlenMi00,15201,1559,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jaboquy8ro6124cui3av",,17,REG,A01,Mike,GLE711694,40021,3200474c-4571-1694-a09c-ddea32d15c26,2013,2013,TB,73,28
PIT,WR,WR,11,RES,Justin Hunter,Justin,Hunter,1991-05-20,76,203,Tennessee,00-0030521,15845,f636d7ce-05f9-43d7-b63f-351acb5c2a70,26657,8618,7815,HuntJu00,14978,1418,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jwfx9spolez2cofb3kvq",,17,REG,,Justin,HUN711562,39982,32004855-4e71-1562-25cf-5026e105d435,2013,2013,TEN,,27
HOU,DB,CB,36,RES,Kayvon Webster,Kayvon,Webster,1991-02-01,71,190,South Florida,00-0030523,15872,42cbcd13-4fbc-4cea-905b-85d2c0b0ff55,26713,8905,7871,WebsKa00,15041,1459,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sphrp7cxjmbviaxogcua",,18,WC,,Kayvon,WEB712587,40038,32005745-4271-2587-7086-6277ba8e5691,2013,2013,DEN,,27
JAX,QB,QB,2,CUT,Landry Jones,Landry,Jones,1989-04-04,76,225,Oklahoma,00-0030524,15904,d4dd3d0b-5023-415d-ad15-94f294c561b1,26738,8748,7897,JoneLa02,14971,1411,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rxewfnskdqvfmsui48ta",,17,REG,,Landry,JON565403,40063,32004a4f-4e56-5403-9645-502ed5cee2b0,2013,2013,PIT,,29
DAL,WR,WR,10,ACT,Tavon Austin,Tavon,Austin,1990-03-15,68,179,West Virginia,00-0030525,15786,502b3a6c-e965-478a-858e-964b4ac2296c,26631,8793,7789,AustTa00,15215,1567,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zlldmz6p1kcwhrdvy5ob",SLOT_WR,19,DIV,A01,Tavon,AUS659596,39954,32004155-5365-9596-bbdf-d25a79b68eaf,2013,2013,STL,8,28
OAK,QB,QB,3,CUT,EJ Manuel,EJ,Manuel,,76,237,Florida State,00-0030526,15803,19d00799-4271-40ac-b5c4-4ea8b410a704,26639,8749,7797,ManuEJ00,14868,1349,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/day0kzescuwievdhlacd",,17,REG,,EJ,MAN738705,39962,32004d41-4e73-8705-be72-a43e97baac70,2013,2013,BUF,,
NYG,LB,LB,52,ACT,Alec Ogletree,Alec,Ogletree,1991-09-25,74,235,Georgia,00-0030527,15806,b94f3978-ba88-428a-924b-3fbfdf04b058,26653,8695,7811,OgleAl00,15220,1572,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n2iknv0oqq5nqbbzjjrn",,17,REG,A01,Alec,OGL654714,39976,32004f47-4c65-4714-b4a6-9c147992896b,2013,2013,STL,30,26
ATL,DB,CB,23,ACT,Robert Alford,Robert,Alford,1988-11-01,70,186,Southeastern Louisiana,00-0030528,15817,4f5ca039-21f3-4045-9c2e-c0b4d5d564c5,26683,8645,7841,AlfoRo00,15177,1540,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fhgurw6qlto5uusiivi4",CB,17,REG,A01,Robert,ALF657259,40008,3200414c-4665-7259-40dd-f718260bdef4,2013,2013,ATL,60,29
MIA,DB,SS,22,ACT,TJ McDonald,Tim,McDonald,1991-01-26,74,223,USC,00-0030530,15852,e0f05175-f652-4f5e-9931-068a712291e6,26694,8689,7852,McDoTJ00,15218,1570,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jnxntrxxoeo7zcqaa0pv",,17,REG,A01,T.J.,MCD574475,40019,32004d43-4457-4475-e3dc-707c089d86f6,2013,2013,STL,71,27
BUF,QB,QB,5,ACT,Matt Barkley,Matthew,Barkley,1990-09-08,74,227,Southern California,00-0030533,15948,da7cb0cc-543e-47d5-b29a-2ba2b341bd14,26721,8004,7880,BarkMa00,14855,1338,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lodswmnugxvkpvuurchf",,17,REG,A01,Matt,BAR192558,40046,32004241-5219-2558-104e-c58640a9e77a,2013,2013,PHI,98,27
TEN,DB,SS,37,RES,Johnathan Cyprien,Johnathan,Cyprien,1990-07-29,73,211,Florida International,00-0030538,15831,bb7f4f60-57a4-437d-9541-a42abb1d1f53,26656,8778,7814,CyprJo00,15012,1443,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ub4ywrahig8b9idnfpjd",,17,REG,,Johnathan,CYP563610,39981,32004359-5056-3610-2c89-20b3541dcfe9,2013,2013,JAX,,28
ATL,DB,CB,33,ACT,Blidi Wreh-Wilson,Blidi,Wreh-Wilson,1989-12-05,73,190,Connecticut,00-0030541,15881,829307ad-fb1d-4c7b-b073-3098be9464e7,26693,8646,7851,WrehBl00,14983,1423,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/l13skgenocst73zinunm",,17,REG,A01,Blidi,WRE233874,40018,32005752-4523-3874-35ce-d93f4e22f4ac,2013,2013,TEN,70,28
DAL,WR,WR,83,RES,Terrance Williams,Terrance,Williams,1989-09-18,74,210,Baylor,00-0030542,15878,3c2db5b7-77bf-4c52-bb77-b0fe3cf89e5e,26697,8794,7855,WillTe01,15088,1490,5,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/emdrh1uwgitgnw1wytiv",,19,DIV,,Terrance,WIL532584,40022,32005749-4c53-2584-19b4-d17271e4b32a,2013,2013,DAL,,28
